id,event_type
17508,event_type 15
17508,event_type 11
17508,event_type 15
17508,event_type 11
17909,event_type 11
17648,event_type 15
17155,event_type 34
17155,event_type 20
17155,event_type 35
17155,event_type 34
17155,event_type 20
17155,event_type 35
17155,event_type 34
17155,event_type 20
17155,event_type 35
18500,event_type 34
18189,event_type 34
18189,event_type 35
18189,event_type 34
18189,event_type 35
16795,event_type 11
17756,event_type 11
17736,event_type 15
17758,event_type 1
17758,event_type 15
17758,event_type 11
17758,event_type 1
17758,event_type 15
17758,event_type 11
17758,event_type 1
17758,event_type 15
17758,event_type 11
17869,event_type 15
16917,event_type 15
17425,event_type 11
17425,event_type 15
17425,event_type 11
17425,event_type 15
18486,event_type 11
18486,event_type 15
18486,event_type 11
18486,event_type 15
17066,event_type 15
18296,event_type 15
18376,event_type 15
17963,event_type 1
17963,event_type 15
17963,event_type 11
17963,event_type 1
17963,event_type 15
17963,event_type 11
17963,event_type 1
17963,event_type 15
17963,event_type 11
17645,event_type 15
17950,event_type 15
17731,event_type 15
18077,event_type 29
17530,event_type 11
16725,event_type 11
16681,event_type 11
16675,event_type 11
17329,event_type 18
17329,event_type 11
17329,event_type 18
17329,event_type 11
17856,event_type 11
17856,event_type 13
17856,event_type 11
17856,event_type 13
17505,event_type 13
17505,event_type 11
17505,event_type 13
17505,event_type 11
17062,event_type 11
17062,event_type 13
17062,event_type 11
17062,event_type 13
17852,event_type 11
17379,event_type 11
17209,event_type 11
16741,event_type 15
17949,event_type 11
17434,event_type 11
18407,event_type 15
17867,event_type 11
17867,event_type 15
17867,event_type 11
17867,event_type 15
17134,event_type 15
17833,event_type 15
17833,event_type 11
17833,event_type 15
17833,event_type 11
17931,event_type 15
17825,event_type 15
17557,event_type 15
17801,event_type 15
17540,event_type 11
17540,event_type 15
17540,event_type 11
17540,event_type 15
17749,event_type 15
18116,event_type 11
18116,event_type 15
18116,event_type 11
18116,event_type 15
18176,event_type 11
18176,event_type 15
18176,event_type 11
18176,event_type 15
17568,event_type 15
17358,event_type 34
17358,event_type 35
17358,event_type 34
17358,event_type 35
18421,event_type 34
18421,event_type 35
18421,event_type 34
18421,event_type 35
17751,event_type 35
17751,event_type 34
17751,event_type 35
17751,event_type 34
17647,event_type 35
17647,event_type 34
17647,event_type 35
17647,event_type 34
16763,event_type 35
17019,event_type 35
17019,event_type 34
17019,event_type 35
17019,event_type 34
18408,event_type 11
18388,event_type 11
18131,event_type 11
18249,event_type 11
17605,event_type 11
16724,event_type 11
17416,event_type 11
17853,event_type 11
16818,event_type 11
17533,event_type 54
17533,event_type 11
17533,event_type 54
17533,event_type 11
17448,event_type 11
17448,event_type 13
17448,event_type 11
17448,event_type 13
17567,event_type 14
17567,event_type 11
17567,event_type 14
17567,event_type 11
16865,event_type 54
16865,event_type 13
16865,event_type 11
16865,event_type 54
16865,event_type 13
16865,event_type 11
16865,event_type 54
16865,event_type 13
16865,event_type 11
16982,event_type 11
18544,event_type 11
18197,event_type 11
16899,event_type 11
18494,event_type 11
17643,event_type 11
17299,event_type 23
17706,event_type 11
17829,event_type 11
17474,event_type 20
17474,event_type 35
17474,event_type 20
17474,event_type 35
17974,event_type 15
17974,event_type 11
17974,event_type 15
17974,event_type 11
18496,event_type 15
16787,event_type 15
17727,event_type 15
18088,event_type 15
18081,event_type 11
17489,event_type 11
17489,event_type 14
17489,event_type 11
17489,event_type 14
18540,event_type 11
17544,event_type 11
17674,event_type 11
17946,event_type 11
18216,event_type 13
17113,event_type 22
17113,event_type 11
17113,event_type 22
17113,event_type 11
18223,event_type 11
18223,event_type 23
18223,event_type 11
18223,event_type 23
17964,event_type 11
18107,event_type 15
16760,event_type 15
16760,event_type 11
16760,event_type 15
16760,event_type 11
17026,event_type 15
18429,event_type 15
18368,event_type 11
18368,event_type 15
18368,event_type 11
18368,event_type 15
16672,event_type 15
17954,event_type 11
17954,event_type 15
17954,event_type 54
17954,event_type 11
17954,event_type 15
17954,event_type 54
17954,event_type 11
17954,event_type 15
17954,event_type 54
18324,event_type 15
17308,event_type 54
17308,event_type 15
17308,event_type 54
17308,event_type 15
16876,event_type 15
17195,event_type 15
17195,event_type 54
17195,event_type 11
17195,event_type 15
17195,event_type 54
17195,event_type 11
17195,event_type 15
17195,event_type 54
17195,event_type 11
17298,event_type 15
17396,event_type 11
17799,event_type 11
18221,event_type 11
16783,event_type 15
17828,event_type 15
17064,event_type 11
17064,event_type 15
17064,event_type 11
17064,event_type 15
18334,event_type 11
17403,event_type 35
17311,event_type 15
16786,event_type 15
16820,event_type 15
17588,event_type 15
17588,event_type 11
17588,event_type 15
17588,event_type 11
16806,event_type 15
17509,event_type 13
17509,event_type 11
17509,event_type 13
17509,event_type 11
18177,event_type 11
18177,event_type 14
18177,event_type 11
18177,event_type 14
16714,event_type 11
18475,event_type 24
18475,event_type 11
18475,event_type 24
18475,event_type 11
17158,event_type 34
17158,event_type 35
17158,event_type 34
17158,event_type 35
16744,event_type 15
18534,event_type 11
16782,event_type 11
17887,event_type 15
18053,event_type 11
18053,event_type 15
18053,event_type 11
18053,event_type 15
17384,event_type 15
17325,event_type 15
17683,event_type 15
17523,event_type 15
17543,event_type 15
17632,event_type 15
17693,event_type 11
18279,event_type 13
17657,event_type 13
17657,event_type 11
17657,event_type 13
17657,event_type 11
17294,event_type 14
17294,event_type 11
17294,event_type 14
17294,event_type 11
18349,event_type 20
18349,event_type 35
18349,event_type 34
18349,event_type 20
18349,event_type 35
18349,event_type 34
18349,event_type 20
18349,event_type 35
18349,event_type 34
17136,event_type 11
18144,event_type 13
18144,event_type 11
18144,event_type 13
18144,event_type 11
17225,event_type 11
17225,event_type 15
17225,event_type 11
17225,event_type 15
16853,event_type 11
17320,event_type 11
17941,event_type 11
17941,event_type 20
17941,event_type 11
17941,event_type 20
17221,event_type 11
18274,event_type 32
18274,event_type 11
18274,event_type 32
18274,event_type 11
17122,event_type 15
18276,event_type 15
18410,event_type 15
17447,event_type 15
16716,event_type 11
16716,event_type 15
16716,event_type 11
16716,event_type 15
18384,event_type 15
17942,event_type 15
16929,event_type 11
16929,event_type 14
16929,event_type 11
16929,event_type 14
17257,event_type 11
17855,event_type 11
17933,event_type 34
17932,event_type 11
17341,event_type 11
18159,event_type 15
17878,event_type 11
17052,event_type 11
17590,event_type 32
16914,event_type 11
18178,event_type 54
17107,event_type 11
17458,event_type 11
18106,event_type 11
18106,event_type 8
18106,event_type 11
18106,event_type 8
16758,event_type 11
17449,event_type 11
17602,event_type 35
17872,event_type 35
17872,event_type 34
17872,event_type 11
17872,event_type 35
17872,event_type 34
17872,event_type 11
17872,event_type 35
17872,event_type 34
17872,event_type 11
17953,event_type 11
17953,event_type 15
17953,event_type 11
17953,event_type 15
18417,event_type 15
18417,event_type 11
18417,event_type 15
18417,event_type 11
17487,event_type 11
17487,event_type 15
17487,event_type 11
17487,event_type 15
18335,event_type 15
18335,event_type 11
18335,event_type 15
18335,event_type 11
18465,event_type 15
16915,event_type 11
16915,event_type 15
16915,event_type 11
16915,event_type 15
17321,event_type 11
17321,event_type 15
17321,event_type 11
17321,event_type 15
18343,event_type 15
18343,event_type 11
18343,event_type 15
18343,event_type 11
17903,event_type 15
16668,event_type 11
17979,event_type 11
17611,event_type 11
17198,event_type 15
17198,event_type 11
17198,event_type 15
17198,event_type 11
16808,event_type 11
16808,event_type 15
16808,event_type 11
16808,event_type 15
18458,event_type 11
18458,event_type 15
18458,event_type 11
18458,event_type 15
17312,event_type 15
17958,event_type 11
17958,event_type 15
17958,event_type 11
17958,event_type 15
17513,event_type 11
17513,event_type 15
17513,event_type 11
17513,event_type 15
16706,event_type 15
17694,event_type 15
17694,event_type 11
17694,event_type 15
17694,event_type 11
17709,event_type 15
17709,event_type 11
17709,event_type 15
17709,event_type 11
17526,event_type 15
17526,event_type 11
17526,event_type 15
17526,event_type 11
17249,event_type 14
17249,event_type 11
17249,event_type 14
17249,event_type 11
17038,event_type 13
17038,event_type 11
17038,event_type 13
17038,event_type 11
18439,event_type 11
16817,event_type 11
18239,event_type 11
17049,event_type 11
17232,event_type 11
18456,event_type 20
16987,event_type 20
18157,event_type 34
18157,event_type 35
18157,event_type 34
18157,event_type 35
16719,event_type 34
16719,event_type 35
16719,event_type 34
16719,event_type 35
16676,event_type 34
16676,event_type 35
16676,event_type 34
16676,event_type 35
17282,event_type 34
17282,event_type 11
17282,event_type 20
17282,event_type 35
17282,event_type 34
17282,event_type 11
17282,event_type 20
17282,event_type 35
17282,event_type 34
17282,event_type 11
17282,event_type 20
17282,event_type 35
17282,event_type 34
17282,event_type 11
17282,event_type 20
17282,event_type 35
17719,event_type 20
17115,event_type 35
17115,event_type 34
17115,event_type 35
17115,event_type 34
17945,event_type 35
17945,event_type 34
17945,event_type 35
17945,event_type 34
17882,event_type 34
17882,event_type 35
17882,event_type 34
17882,event_type 35
17112,event_type 35
17112,event_type 34
17112,event_type 35
17112,event_type 34
17394,event_type 35
17394,event_type 34
17394,event_type 35
17394,event_type 34
16961,event_type 34
16961,event_type 35
16961,event_type 34
16961,event_type 35
17150,event_type 34
17150,event_type 35
17150,event_type 34
17150,event_type 35
18312,event_type 34
18312,event_type 35
18312,event_type 34
18312,event_type 35
17676,event_type 11
17676,event_type 54
17676,event_type 11
17676,event_type 54
18125,event_type 34
18125,event_type 35
18125,event_type 34
18125,event_type 35
17117,event_type 35
17901,event_type 11
17901,event_type 34
17901,event_type 11
17901,event_type 34
17904,event_type 35
17904,event_type 34
17904,event_type 35
17904,event_type 34
17036,event_type 35
17036,event_type 34
17036,event_type 35
17036,event_type 34
18280,event_type 34
18280,event_type 35
18280,event_type 34
18280,event_type 35
18082,event_type 35
18082,event_type 34
18082,event_type 35
18082,event_type 34
16850,event_type 34
16850,event_type 35
16850,event_type 34
16850,event_type 35
17553,event_type 35
17553,event_type 34
17553,event_type 35
17553,event_type 34
17823,event_type 35
17823,event_type 34
17823,event_type 35
17823,event_type 34
16770,event_type 35
16770,event_type 34
16770,event_type 35
16770,event_type 34
17264,event_type 35
17264,event_type 34
17264,event_type 35
17264,event_type 34
16666,event_type 35
16666,event_type 34
16666,event_type 35
16666,event_type 34
18043,event_type 34
18043,event_type 35
18043,event_type 34
18043,event_type 35
16956,event_type 34
16956,event_type 35
16956,event_type 34
16956,event_type 35
17359,event_type 34
17359,event_type 35
17359,event_type 34
17359,event_type 35
18164,event_type 35
18164,event_type 34
18164,event_type 35
18164,event_type 34
18047,event_type 35
18047,event_type 34
18047,event_type 35
18047,event_type 34
17167,event_type 11
17167,event_type 34
17167,event_type 35
17167,event_type 11
17167,event_type 34
17167,event_type 35
17167,event_type 11
17167,event_type 34
17167,event_type 35
18505,event_type 34
18505,event_type 35
18505,event_type 34
18505,event_type 35
17848,event_type 34
17848,event_type 35
17848,event_type 34
17848,event_type 35
18132,event_type 34
18132,event_type 35
18132,event_type 34
18132,event_type 35
16772,event_type 35
16772,event_type 34
16772,event_type 35
16772,event_type 34
17660,event_type 35
17660,event_type 34
17660,event_type 35
17660,event_type 34
16907,event_type 34
16907,event_type 35
16907,event_type 34
16907,event_type 35
17456,event_type 35
17456,event_type 34
17456,event_type 35
17456,event_type 34
17586,event_type 34
17586,event_type 35
17586,event_type 34
17586,event_type 35
18160,event_type 34
18160,event_type 35
18160,event_type 34
18160,event_type 35
17582,event_type 35
17582,event_type 12
17582,event_type 34
17582,event_type 35
17582,event_type 12
17582,event_type 34
17582,event_type 35
17582,event_type 12
17582,event_type 34
17999,event_type 34
17999,event_type 35
17999,event_type 34
17999,event_type 35
16852,event_type 35
16852,event_type 34
16852,event_type 35
16852,event_type 34
16974,event_type 34
16974,event_type 35
16974,event_type 34
16974,event_type 35
17479,event_type 35
17479,event_type 34
17479,event_type 35
17479,event_type 34
18437,event_type 34
18437,event_type 35
18437,event_type 34
18437,event_type 35
17483,event_type 35
17483,event_type 34
17483,event_type 35
17483,event_type 34
17044,event_type 34
17044,event_type 35
17044,event_type 34
17044,event_type 35
17939,event_type 13
17939,event_type 11
17939,event_type 13
17939,event_type 11
18521,event_type 11
18521,event_type 13
18521,event_type 11
18521,event_type 13
17385,event_type 35
17385,event_type 34
17385,event_type 35
17385,event_type 34
16992,event_type 35
16992,event_type 34
16992,event_type 35
16992,event_type 34
17984,event_type 35
17984,event_type 34
17984,event_type 35
17984,event_type 34
17716,event_type 35
17716,event_type 34
17716,event_type 35
17716,event_type 34
17743,event_type 35
17743,event_type 34
17743,event_type 35
17743,event_type 34
17192,event_type 35
17192,event_type 34
17192,event_type 35
17192,event_type 34
18488,event_type 35
18488,event_type 34
18488,event_type 35
18488,event_type 34
18318,event_type 35
18318,event_type 34
18318,event_type 35
18318,event_type 34
17408,event_type 34
17408,event_type 35
17408,event_type 34
17408,event_type 35
17205,event_type 35
17205,event_type 34
17205,event_type 35
17205,event_type 34
17952,event_type 35
17952,event_type 34
17952,event_type 35
17952,event_type 34
18378,event_type 34
18378,event_type 35
18378,event_type 34
18378,event_type 35
18092,event_type 34
18092,event_type 35
18092,event_type 34
18092,event_type 35
17210,event_type 34
17210,event_type 35
17210,event_type 34
17210,event_type 35
18187,event_type 34
18187,event_type 35
18187,event_type 34
18187,event_type 35
17704,event_type 35
17704,event_type 34
17704,event_type 35
17704,event_type 34
17024,event_type 34
17024,event_type 35
17024,event_type 34
17024,event_type 35
16870,event_type 35
16870,event_type 34
16870,event_type 35
16870,event_type 34
16923,event_type 34
16923,event_type 35
16923,event_type 34
16923,event_type 35
18162,event_type 34
18162,event_type 35
18162,event_type 34
18162,event_type 35
17780,event_type 35
17780,event_type 34
17780,event_type 35
17780,event_type 34
17686,event_type 20
17686,event_type 35
17686,event_type 20
17686,event_type 35
17069,event_type 34
17069,event_type 35
17069,event_type 34
17069,event_type 35
18238,event_type 35
18238,event_type 34
18238,event_type 35
18238,event_type 34
17212,event_type 35
17212,event_type 34
17212,event_type 35
17212,event_type 34
17891,event_type 34
17891,event_type 35
17891,event_type 34
17891,event_type 35
18316,event_type 35
18316,event_type 34
18316,event_type 35
18316,event_type 34
18263,event_type 34
18263,event_type 35
18263,event_type 34
18263,event_type 35
17304,event_type 35
17304,event_type 34
17304,event_type 35
17304,event_type 34
18097,event_type 34
18097,event_type 35
18097,event_type 34
18097,event_type 35
17011,event_type 35
17710,event_type 34
17710,event_type 20
17710,event_type 35
17710,event_type 34
17710,event_type 20
17710,event_type 35
17710,event_type 34
17710,event_type 20
17710,event_type 35
17020,event_type 35
17020,event_type 34
17020,event_type 35
17020,event_type 34
18311,event_type 34
18311,event_type 35
18311,event_type 34
18311,event_type 35
17545,event_type 34
17545,event_type 35
17545,event_type 34
17545,event_type 35
18464,event_type 34
18464,event_type 35
18464,event_type 34
18464,event_type 35
16896,event_type 35
17798,event_type 35
17798,event_type 34
17798,event_type 35
17798,event_type 34
16878,event_type 34
16878,event_type 35
16878,event_type 34
16878,event_type 35
17651,event_type 11
18112,event_type 11
18354,event_type 34
18354,event_type 35
18354,event_type 34
18354,event_type 35
16813,event_type 34
16813,event_type 35
16813,event_type 11
16813,event_type 34
16813,event_type 35
16813,event_type 11
16813,event_type 34
16813,event_type 35
16813,event_type 11
17905,event_type 11
18070,event_type 35
18272,event_type 34
16881,event_type 34
16881,event_type 35
16881,event_type 34
16881,event_type 35
17427,event_type 11
18060,event_type 34
18060,event_type 35
18060,event_type 34
18060,event_type 35
18028,event_type 35
17641,event_type 34
17641,event_type 35
17641,event_type 34
17641,event_type 35
16860,event_type 35
16860,event_type 34
16860,event_type 35
16860,event_type 34
17921,event_type 35
17921,event_type 34
17921,event_type 35
17921,event_type 34
16927,event_type 35
17769,event_type 34
17769,event_type 35
17769,event_type 34
17769,event_type 35
17459,event_type 18
17459,event_type 11
17459,event_type 13
17459,event_type 18
17459,event_type 11
17459,event_type 13
17459,event_type 18
17459,event_type 11
17459,event_type 13
18501,event_type 11
18501,event_type 13
18501,event_type 11
18501,event_type 13
18485,event_type 20
18485,event_type 35
18485,event_type 34
18485,event_type 20
18485,event_type 35
18485,event_type 34
18485,event_type 20
18485,event_type 35
18485,event_type 34
18402,event_type 35
18402,event_type 20
18402,event_type 35
18402,event_type 20
18453,event_type 20
17622,event_type 35
17622,event_type 34
17622,event_type 35
17622,event_type 34
16773,event_type 34
16773,event_type 35
16773,event_type 34
16773,event_type 35
16983,event_type 34
16983,event_type 35
16983,event_type 34
16983,event_type 35
16861,event_type 35
17398,event_type 35
17398,event_type 34
17398,event_type 35
17398,event_type 34
18396,event_type 35
18396,event_type 34
18396,event_type 35
18396,event_type 34
17851,event_type 34
17851,event_type 35
17851,event_type 34
17851,event_type 35
17462,event_type 35
17462,event_type 34
17462,event_type 35
17462,event_type 34
17292,event_type 34
17292,event_type 35
17292,event_type 34
17292,event_type 35
16688,event_type 34
16688,event_type 35
16688,event_type 34
16688,event_type 35
18121,event_type 35
18121,event_type 34
18121,event_type 35
18121,event_type 34
18145,event_type 34
18145,event_type 35
18145,event_type 34
18145,event_type 35
17574,event_type 34
17574,event_type 20
17574,event_type 35
17574,event_type 34
17574,event_type 20
17574,event_type 35
17574,event_type 34
17574,event_type 20
17574,event_type 35
17618,event_type 35
17618,event_type 34
17618,event_type 35
17618,event_type 34
18418,event_type 35
18418,event_type 34
18418,event_type 35
18418,event_type 34
17469,event_type 35
17469,event_type 34
17469,event_type 35
17469,event_type 34
17083,event_type 34
17083,event_type 35
17083,event_type 34
17083,event_type 35
16827,event_type 34
16827,event_type 35
16827,event_type 34
16827,event_type 35
17789,event_type 35
17223,event_type 35
17223,event_type 34
17223,event_type 35
17223,event_type 34
17271,event_type 35
17271,event_type 34
17271,event_type 35
17271,event_type 34
16871,event_type 35
16871,event_type 34
16871,event_type 35
16871,event_type 34
17570,event_type 35
17570,event_type 34
17570,event_type 35
17570,event_type 34
16730,event_type 35
16730,event_type 34
16730,event_type 35
16730,event_type 34
17076,event_type 34
17076,event_type 35
17076,event_type 34
17076,event_type 35
16936,event_type 34
16936,event_type 35
16936,event_type 34
16936,event_type 35
18514,event_type 35
18514,event_type 34
18514,event_type 35
18514,event_type 34
17518,event_type 35
17518,event_type 34
17518,event_type 35
17518,event_type 34
17164,event_type 34
17164,event_type 35
17164,event_type 34
17164,event_type 35
18259,event_type 34
18259,event_type 35
18259,event_type 34
18259,event_type 35
16749,event_type 34
16749,event_type 35
16749,event_type 34
16749,event_type 35
17281,event_type 35
16833,event_type 20
18512,event_type 35
18512,event_type 34
18512,event_type 35
18512,event_type 34
17367,event_type 35
17367,event_type 34
17367,event_type 35
17367,event_type 34
18468,event_type 34
18468,event_type 20
18468,event_type 35
18468,event_type 34
18468,event_type 20
18468,event_type 35
18468,event_type 34
18468,event_type 20
18468,event_type 35
17726,event_type 35
17808,event_type 35
17808,event_type 34
17808,event_type 35
17808,event_type 34
17147,event_type 34
17147,event_type 35
17147,event_type 34
17147,event_type 35
18235,event_type 34
18235,event_type 35
18235,event_type 34
18235,event_type 35
17355,event_type 35
17355,event_type 34
17355,event_type 35
17355,event_type 34
17604,event_type 34
17604,event_type 35
17604,event_type 34
17604,event_type 35
17186,event_type 35
17186,event_type 34
17186,event_type 35
17186,event_type 34
16955,event_type 35
16955,event_type 34
16955,event_type 35
16955,event_type 34
17503,event_type 35
17503,event_type 34
17503,event_type 35
17503,event_type 34
18212,event_type 34
18212,event_type 35
18212,event_type 34
18212,event_type 35
16830,event_type 35
16830,event_type 34
16830,event_type 35
16830,event_type 34
17496,event_type 34
17496,event_type 20
17496,event_type 35
17496,event_type 34
17496,event_type 20
17496,event_type 35
17496,event_type 34
17496,event_type 20
17496,event_type 35
17766,event_type 34
17766,event_type 11
17766,event_type 34
17766,event_type 11
18286,event_type 11
16862,event_type 35
17224,event_type 35
18264,event_type 35
18264,event_type 34
18264,event_type 35
18264,event_type 34
16684,event_type 35
16684,event_type 21
16684,event_type 35
16684,event_type 21
16708,event_type 35
16708,event_type 34
16708,event_type 35
16708,event_type 34
17303,event_type 35
18241,event_type 35
17791,event_type 20
17791,event_type 32
17791,event_type 20
17791,event_type 32
16767,event_type 20
16658,event_type 35
16658,event_type 34
16658,event_type 35
16658,event_type 34
16849,event_type 34
16849,event_type 35
16849,event_type 20
16849,event_type 34
16849,event_type 35
16849,event_type 20
16849,event_type 34
16849,event_type 35
16849,event_type 20
18329,event_type 35
17428,event_type 34
17428,event_type 35
17428,event_type 34
17428,event_type 35
16920,event_type 35
16920,event_type 34
16920,event_type 35
16920,event_type 34
17030,event_type 34
17030,event_type 20
17030,event_type 35
17030,event_type 34
17030,event_type 20
17030,event_type 35
17030,event_type 34
17030,event_type 20
17030,event_type 35
17613,event_type 35
17613,event_type 11
17613,event_type 34
17613,event_type 35
17613,event_type 11
17613,event_type 34
17613,event_type 35
17613,event_type 11
17613,event_type 34
18171,event_type 35
18171,event_type 34
18171,event_type 35
18171,event_type 34
17387,event_type 35
18240,event_type 34
18240,event_type 35
18240,event_type 34
18240,event_type 35
17391,event_type 35
17391,event_type 34
17391,event_type 35
17391,event_type 34
17048,event_type 34
17048,event_type 35
17048,event_type 20
17048,event_type 34
17048,event_type 35
17048,event_type 20
17048,event_type 34
17048,event_type 35
17048,event_type 20
18315,event_type 34
18315,event_type 35
18315,event_type 34
18315,event_type 35
18420,event_type 35
18461,event_type 11
18430,event_type 35
18430,event_type 34
18430,event_type 35
18430,event_type 34
16699,event_type 34
16699,event_type 35
16699,event_type 34
16699,event_type 35
17451,event_type 34
17451,event_type 35
17451,event_type 11
17451,event_type 20
17451,event_type 34
17451,event_type 35
